CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,NOMBRE,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,Intento
MALDONADO - HABILITADO_024,MALDONADO,NINGUNA,HABILITADO,24,EL PRINCIPITO,D,RUTA 37 entre MAGALLANES y GABOTO ,,,,,,PIRIAPOLIS,443-26162,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RUTA 37 entre MAGALLANES y GABOTO ,-55.27263082927805,-34.845330553966086,1
MALDONADO - HABILITADO_025,MALDONADO,NINGUNA,HABILITADO,25,WOODSIDE SCHOOL,D,SHAKESPEARE y CALDERON DE LA BARCA,,,,,,PUNTA DEL ESTE,442-52558 / 442-27238,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SHAKESPEARE y CALDERON DE LA BARCA,-54.94165260647927,-34.9184553230038,1
MALDONADO - HABILITADO_026,MALDONADO,NINGUNA,HABILITADO,26,SAINT JOSEPH MARY COLLEGE,D,Bv. ARTIGAS y LOUVRE,,,,,,PUNTA DEL ESTE,422-48979 / 422-48980,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Bv. ARTIGAS y LOUVRE,-54.941388548336654,-34.92586980451987,1
MALDONADO - HABILITADO_027,MALDONADO,NINGUNA,HABILITADO,27,SAINT CLARE'S COLLEGE,D,CALIFORNIA y LOS MEDANOS,,,,,,PUNTA DEL ESTE,424-90200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CALIFORNIA y LOS MEDANOS,-55.256485620168405,-34.896688161575355,1
MALDONADO - HABILITADO_028,MALDONADO,NINGUNA,HABILITADO,28,BIARRITZ,D,SERAFIN J. GARCÍA,,,,,,MALDONADO,4224 3107,PREESCOLAR MANITOS SUCIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SERAFIN J. GARCÍA,-54.94320020397649,-34.88884545463766,1
MALDONADO - HABILITADO_032,MALDONADO,NINGUNA,HABILITADO,32,PADRE PIO ,,SATURNO CASI VENUS,,,,,,LAS MARIAS,4223 87 48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SATURNO CASI VENUS,-54.97209912986582,-34.87796771751184,1
MALDONADO - HABILITADO_033,MALDONADO,NINGUNA,HABILITADO,33,F.IN.IN.,,25 DE AGOSTO,840,,,,,SAN CARLOS,4266 5066,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE AGOSTO 840,-54.96407254606507,-34.89636354159423,1
MALDONADO - HABILITADO_034,MALDONADO,NINGUNA,HABILITADO,34,LATINOAMERICANO,-,GUTIERREZ RUIZ,771,,,,,MALDONADO,42238495,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GUTIERREZ RUIZ 771,-54.958191735594184,-34.903001315167515,1
MALDONADO - HABILITADO_035,MALDONADO,NINGUNA,HABILITADO,35,INSTITUTO FERNANDINO,T,RINCÓN,1128,,,,,MALDONADO,4224 28 97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RINCÓN 1128,-54.95536160248463,-34.903193714406726,1
MALDONADO - HABILITADO_036,MALDONADO,NINGUNA,HABILITADO,36,OLIVOS,D,ESMERALDA ENTRE AMATISTA Y TURMALINA,,,,,,MALDONADO,4225 85 38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ESMERALDA ENTRE AMATISTA Y TURMALINA,-34.905421,-54.942048,3
MALDONADO - HABILITADO_037,MALDONADO,NINGUNA,HABILITADO,37,INSITUTO GAIA,D,CALLE 30 ENTRE 48 Y 49,,,,,,BAL. BS. AS. RUTA 10,4277 4159,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CALLE 30 ENTRE 48 Y 49,-54.98861954288857,-34.879177384528454,1
MALDONADO - HABILITADO_038,MALDONADO,NINGUNA,HABILITADO,38,EMY EDUCA SCHOOL,D,ZELMAR MICHELLINI Y LOS MIRLOS,,,,,,MALDONADO,4223 8390,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ZELMAR MICHELLINI Y LOS MIRLOS,-54.96089860308596,-34.907320445991004,1
MALDONADO - HABILITADO_039,MALDONADO,NINGUNA,HABILITADO,39,LA COLMENA,D,CAMINO VECINAL EX RUTA 109 KM 23,,,,,,SIERRA DE ROCHA/ PUNTA DE ALFERES,4440 6714,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CAMINO VECINAL EX RUTA 109 KM 23,-31.4141603,-64.1327023,4
MALDONADO - HABILITADO_040,MALDONADO,NINGUNA,HABILITADO,40,BLUE BLUE ELEFANTE,D,AVDA. JUANA DE AMERICA ENTRE R. RISO Y CAYETANO SILVA,,,,,,SAN CARLOS,4277 37 37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AVDA. JUANA DE AMERICA ENTRE R. RISO Y CAYETANO SILVA,-54.87027366123903,-34.9016607775341,1
MALDONADO - HABILITADO_041,MALDONADO,NINGUNA,HABILITADO,41,INTERNATIONAL COLLEGE,D,BR. ARTIGAS Y AVDA. DEL MAR,,,,,,PUNTA DEL ESTE,4222 8888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BR. ARTIGAS Y AVDA. DEL MAR,-54.96302510817328,-34.90938741001126,1
MALDONADO - HABILITADO_042,MALDONADO,NINGUNA,HABILITADO,42,DREAMDAYS COLLEGE,D,MERCEDES entre PRADO Y LOUVRE,,,,,,PUNTA DEL ESTE,4224 9199,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MERCEDES entre PRADO Y LOUVRE,-54.9447881634131,-34.920629012120095,1
MALDONADO - CH_043,MALDONADO,NINGUNA,HABILITADO,43,COLEGIO MERAKI,D,CALLE N.º49 LA CABALLADA-BALNEARIO BUENOS AIRES,,,,,,BAL. BS. AS. ,99688486,,,,,,,,,,,,,,,,,,,CALLE N.º49 LA CABALLADA-BALNEARIO BUENOS AIRES,-54.79379353777834,-34.8877770168338,1
MALDONADO - CH_044,MALDONADO,NINGUNA,HABILITADO,44,THE NEW SCHOOL,D,CAMINO AL CERRO EGUZQUIZA Y CAMINO VECINAL,,,,,,BARRA DE MALDONADO,98311068,,,,,,,,,,,,,,,,,,,CAMINO AL CERRO EGUZQUIZA Y CAMINO VECINAL,-54.99079308061038,-34.87836394622126,1
MALDONADO - CH_045,MALDONADO,NINGUNA,HABILITADO,45,INSTITUTO EDUCACIÓN EVANGELICO (I.E.E),D,JOAQUIN DE VIANA,873,,,,,MALDONADO,4224 2292,,,,,,,,,,,,,,,,,,,JOAQUIN DE VIANA 873,-54.963523091649634,-34.90802773877399,1
,MALDONADO,NINGUNA,HABILITADO,46,LUZ DEL SOL,D,CAMINO LUSSICH ,,,,,,PUNTA BALLENA,098 06 16 06,,,,,,,,,,,,,,,,,,,CAMINO LUSSICH ,-55.0088316,-34.88309772000001,1
,MALDONADO,NINGUNA,HABILITADO,47,ESPACIO EDUCATIVO INTEGRAL SOL Y LUNA,,PELICANO ESQ. TEROS,,,,,,MALDONADO,4225 8099,,,,,,,,,,,,,,,,,,,PELICANO ESQ. TEROS,-54.9671375082829,-34.901152292626975,1
,MALDONADO,NINGUNA,HABILITADO,48,BICHITOS DE LUZ,,ACUÑA DE FIGUEROA Y AVDA. ROOSEVELT,,,,,,MALDONADO,4224 4485,,,,,,,,,,,,,,,,,,,ACUÑA DE FIGUEROA Y AVDA. ROOSEVELT,-54.94457158680894,-34.929713839360765,1
,MALDONADO,NINGUNA,HABILITADO,49,IKIGAI,,PEJERREYES ESQ. TIBURONES,,,,,,PUNTA DEL ESTE,099 909 198,,,,,,,,,,,,,,,,,,,PEJERREYES ESQ. TIBURONES,-54.80889914963892,-34.89842745497661,1
,MALDONADO,NINGUNA,AUTORIZADO,1,GARZON SCHOOL,,GERARDO MATTOS RODRIGUEZ ESQ. CARLOS CARDEL,,,,,,MALDONADO,098 506 085,,,,,,,,,,,,,,,,,,,GERARDO MATTOS RODRIGUEZ ESQ. CARLOS CARDEL,-54.86873965344463,-34.90751053155879,1
MALDONADO - JARDIN_006,MALDONADO,NINGUNA,JARDIN,6,SOMOS AMIGOS,-,ARAZA,853,,,,,MALDONADO,422-24818,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARAZA 853,-54.96557527903004,-34.90813154233961,1
MALDONADO - JARDIN_008,MALDONADO,NINGUNA,JARDIN,8,RAYITO DE SOL,-,GUTIERREZ RUIZ,619,,,,,MALDONADO,422-22897,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GUTIERREZ RUIZ 619,-54.95473884084677,-34.902932205855386,1
MALDONADO - ESPECIAL_003,MALDONADO,NINGUNA,ESPECIAL,3,CADIM,-,AV. M. CHIOSSI Y BURNET,,,,,,MALDONADO,4224 4857,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. M. CHIOSSI Y BURNET,-54.96656960465396,-34.901579234976445,1
MALDONADO - ESPECIAL_004,MALDONADO,NINGUNA,ESPECIAL,4,CRECIENDO JUNTOS,-,SAN CARLOS,779,Cno. A LA LAGUNA y PEZ AUSTRAL,S/N (*),,,MALDONADO,42-250314 / 42-246823(*),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAN CARLOS 779,-54.95456085716598,-34.90953784391742,1
MALDONADO - ESPECIAL_005,MALDONADO,NINGUNA,ESPECIAL,5,CEN. DE ESTUD. DEL NIÑO ESPECIAL (C.E.N.E.),-,JOAQUIN SUAREZ y PIEDRAS,,,,,,SAN CARLOS,42-235755,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOAQUIN SUAREZ y PIEDRAS,-54.950540640562544,-34.903535531945785,1
MALDONADO - ESPECIAL_006,MALDONADO,NINGUNA,ESPECIAL,6,INSTITUTO DE EDUCACION INTEGRAL (I.D.E.I.),-,18 DE JULIO,630,,,,,SAN CARLOS,46-269387,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 630,-54.958481711305566,-34.91212004599474,1
PAYSANDÚ - HABILITADO_002,PAYSANDÚ,NINGUNA,HABILITADO,2,Ntra. Sra. DEL HUERTO,T,FLORIDA,1137,,,,,PAYSANDU,472-22358,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FLORIDA 1137,-58.08186444926708,-32.316578155034925,1
PAYSANDÚ - HABILITADO_004,PAYSANDÚ,NINGUNA,HABILITADO,4,Ntra. Sra. DEL ROSARIO,T,FLORIDA,1278,,,,,PAYSANDU,472 22361,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FLORIDA 1278,-58.07946898114714,-32.317078567982335,1
PAYSANDÚ - HABILITADO_005,PAYSANDÚ,NINGUNA,HABILITADO,5,ADVENTISTA  ARTIGAS,D,URUGUAY,1176,,,,,PAYSANDU,472-37786,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,URUGUAY 1176,-58.08190646033027,-32.31565317638728,1
PAYSANDÚ - HABILITADO_006,PAYSANDÚ,NINGUNA,HABILITADO,6,PADRE JOSE BENITO LAMAS,T,INDEPENDENCIA,629,,,,,PAYSANDU,472-27943,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,INDEPENDENCIA 629,-58.09000446326764,-32.322504113320036,1
PAYSANDÚ - HABILITADO_007,PAYSANDÚ,NINGUNA,HABILITADO,7,LIBERTY SCHOOL,D,Av. SALTO y LIBERTAD,-,,,,,PAYSANDU,472-31718,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. SALTO y LIBERTAD -,-58.08991213966235,-32.308865797297656,1
PAYSANDÚ - HABILITADO_008,PAYSANDÚ,NINGUNA,HABILITADO,8,INTEGRAL MAFALDA,T,SARANDI,1700,,,,,PAYSANDU,472-26199,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SARANDI 1700,-58.070275559220065,-32.32034274057314,1
PAYSANDÚ - HABILITADO_009,PAYSANDÚ,NINGUNA,HABILITADO,9,MASTER,D,ITUZAINGÓ,1185,,,,,PAYSANDÚ,4723-4467,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ITUZAINGÓ 1185,-58.082413990533716,-32.32016096092328,1
PAYSANDÚ - HABILITADO_010,PAYSANDÚ,NINGUNA,HABILITADO,10,LOS CANDILES,D,Dr. LUIS ALBERTO DE HERRERA,714,,,,,PAYSANDU,4722-0289,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. LUIS ALBERTO DE HERRERA 714,-58.08382278193084,-32.32204591337968,1
PAYSANDÚ - AUTORIZADO_002,PAYSANDÚ,NINGUNA,AUTORIZADO,2,ESTABLECIMIENTO DEL CERRO,D,PASO DEL CERRO DEL QUEGUAY,,,,,,PARAJE,099 830 335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PASO DEL CERRO DEL QUEGUAY,-57.542239999673086,-31.867732063491776,1
PAYSANDÚ - JARDIN_003,PAYSANDÚ,NINGUNA,JARDIN,3,EL JARDIN DE MIRTHA,-,CERRITO,820,,,,,PAYSANDU,4722 15 32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CERRITO 820,-58.077157596356805,-32.32036759414718,1
PAYSANDÚ - ESPECIAL_001,PAYSANDÚ,NINGUNA,ESPECIAL,1,INST. TUGUA,-,RUTA 3 Km 486,,,,,,TERMAS DEL DAYMÁN,4736 97 17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RUTA 3 Km 486,-57.90021735284181,-31.46289460675003,1
PAYSANDÚ - ESPECIAL_002,PAYSANDÚ,NINGUNA,ESPECIAL,2,AMIGOS,-,LEANDRO GOMEZ,1058,,,,,PAYSANDÚ,4724 26 82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LEANDRO GOMEZ 1058,-58.08495291763254,-32.31812664789529,1
PAYSANDÚ - ESPECIAL_003,PAYSANDÚ,NINGUNA,ESPECIAL,3,MOIRÚ,-,INTENDENCIA,762,,,,,PAYSANDÚ,4722 40 85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,INTENDENCIA 762,-58.089119176452826,-32.32004463326569,1
PAYSANDÚ - ESPECIAL_004,PAYSANDÚ,NINGUNA,ESPECIAL,4,A.PRO.DI.ME.,-,Av. ENRIQUE CHAPLIN,626,,,,,PAYSANDÚ,472.20.090,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ENRIQUE CHAPLIN 626,-58.05898143316121,-32.32163638794354,1
PAYSANDÚ - ESPECIAL_005,PAYSANDÚ,NINGUNA,ESPECIAL,5,ASOC. DE APOYO AL DISC. VISUAL (AS.A.DI.VI.),-,TACUAREMBO y INDEPENDENCIA,-,,,,,,472.35.510,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,TACUAREMBO y INDEPENDENCIA -,-58.0895734392939,-32.32120956275921,1
RÍO NEGRO - HABILITADO_001,RÍO NEGRO,NINGUNA,HABILITADO,1,SAN JOSE,D,ZORRILA y 25 DE AGOSTO,,,,,,FRAY BENTOS,456-23826,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ZORRILA y 25 DE AGOSTO,-57.62479469305409,-32.701158782900144,1
RÍO NEGRO - HABILITADO_002,RÍO NEGRO,NINGUNA,HABILITADO,2,LAURELES DE LA INMACULADA,T,Cno. BATLLE Y ORDOÑEZ y Cno. STIGILIANI,,,,,,FRAY BENTOS,456-22592,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. BATLLE Y ORDOÑEZ y Cno. STIGILIANI,-58.3241017,-33.14116883999999,1
RÍO NEGRO - HABILITADO_003,RÍO NEGRO,NINGUNA,HABILITADO,3,SAN VICENTE DE PAUL,D,HERVIDERO,1896,,,,,YOUNG,456-72244,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,HERVIDERO 1896,-57.62482668174379,-32.70394164880072,1
RÍO NEGRO - HABILITADO_005,RÍO NEGRO,NINGUNA,HABILITADO,5,YOUNG DAY SCHOOL,D,ASENCIO,-,,,,,YOUNG,456-72832,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ASENCIO -,-57.63175198060774,-32.70661391954788,1
RÍO NEGRO - HABILITADO_006,RÍO NEGRO,NINGUNA,HABILITADO,6,FRAY BENTOS,D,25 DE AGOSTO,3296,,,,,FRAY BENTOS,4562 18 40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE AGOSTO 3296,-57.62706362820234,-32.70024467488094,1
RÍO NEGRO - AUTORIZADO_001,RÍO NEGRO,NINGUNA,AUTORIZADO,1,ESCUELA ALEMANA COLONIA GARTENTAL,M, SAN JAVIER,-,,,,,COLONIA GARTENTAL,4560 98 33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,, SAN JAVIER -,-58.05968782675647,-32.583359660770725,1
RÍO NEGRO - AUTORIZADO_002,RÍO NEGRO,NINGUNA,AUTORIZADO,2,MENNONITA EL OMBU,M,COLONIA EL OMBU Km 284,,,,,,YOUNG,456-72725,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,COLONIA EL OMBU Km 284,-57.62522671388505,-32.70159249977314,1
RÍO NEGRO - ESPECIAL_001,RÍO NEGRO,NINGUNA,ESPECIAL,1,INSTITUTO INTEGRAL DE RIO NEGRO,-,25 DE AGOSTO,3168,,,,,FRAY BENTOS,456-29339,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE AGOSTO 3168,-57.624077750245476,-32.70154049025408,1
RIVERA - HABILITADO_001,RIVERA,NINGUNA,HABILITADO,1,MARIA INMACULADA TERESIANO,T,MONSEÑOR VERA,1186,,,,,RIVERA,462-23384,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MONSEÑOR VERA 1186,-55.538301240183365,-30.900951649702254,1
RIVERA - HABILITADO_004,RIVERA,NINGUNA,HABILITADO,4,RODO,D,URUGUAY,716,,,,,RIVERA,462-29105,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,URUGUAY 716,-55.54368163878576,-30.90149411048937,1
RIVERA - HABILITADO_006,RIVERA,NINGUNA,HABILITADO,6,SAINT CATHERINE'S SCHOOL,T,ITUZAINGÓ,696,,,,,RIVERA,462-31432,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ITUZAINGÓ 696,-55.54057836574493,-30.90265532279022,1
RIVERA - HABILITADO_007,RIVERA,NINGUNA,HABILITADO,7,ESC. NATURAL E INTEGRAL DE RIVERA (E.N.I.R.),D,Bv. JOSÉ BATLLE Y ORDOÑEZ,925,,,,,RIVERA,4622 5818,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Bv. JOSÉ BATLLE Y ORDOÑEZ 925,-55.539187287399486,-30.908282079716283,1
RIVERA - HABILITADO_008,RIVERA,NINGUNA,HABILITADO,8,ESCUELA CRISTIANA,D,PANTALEON QUESADA,725,,,,,RIVERA,462-31290,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PANTALEON QUESADA 725,-55.54617541548711,-30.900232921870124,1
RIVERA - HABILITADO_009,RIVERA,NINGUNA,HABILITADO,9,JUAN PABLO II,D,Gral. JOSE ARTIGAS,264,,,,,RIVERA,462-25208,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral. JOSE ARTIGAS 264,-55.555637045024156,-30.89278298694958,1
RIVERA - HABILITADO_010,RIVERA,NINGUNA,HABILITADO,10,GREEN LAND SCHOOL,D,Gral. ARTIGAS,1134,,,,,RIVERA,4623 7046,,,,,,,,,,,,,,,,,,,Gral. ARTIGAS 1134,-55.53996784106684,-30.90114279137491,1
RIVERA - HABILITADO_011,RIVERA,NINGUNA,HABILITADO,11,JULIO VERNE,,FAUSTINO CARAMBULA,1126,,,,,RIVERA,98792152,,,,,,,,,,,,,,,,,,,FAUSTINO CARAMBULA 1126,-55.53900453946054,-30.89947006821467,1
RIVERA - ESPECIAL_001,RIVERA,NINGUNA,ESPECIAL,1,CEN. ED. DE REHABILITACION INTEGRAL (C.E.R.I.),-,ITUZAINGÓ,1228,,,,,RIVERA,462-32058,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ITUZAINGÓ 1228,-55.543729252177144,-30.9073598303451,1
RIVERA - ESPECIAL_002,RIVERA,NINGUNA,ESPECIAL,2,A.P.A.D.I.R.,-,ARTIGAS,1284,,,,,,4622 0747,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARTIGAS 1284,-55.537302354456635,-30.902529125982966,1
ROCHA - ESPECIAL_001,ROCHA,NINGUNA,ESPECIAL,1,CEN. DE AYUDA AL DISCAPACITADO (C.A.DI.),,18 DE JULIO,1935,NUÑEZ CASTILLO,1296(*),,,ROCHA / CASTILLOS(*),4472 0811 / 4475 9658 (*),(*) CENTRO DE AYUDA AL DISCAPACITADO (anexo),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 1935,-54.33690644200264,-34.47888134096584,1
ROCHA - ESPECIAL_003,ROCHA,NINGUNA,ESPECIAL,3,C.R.I.I.A.R.,,JOSE ENRIQUE RODO,34,,,,,ROCHA,44720877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE ENRIQUE RODO 34,-54.33634700592354,-34.484385227420425,1
ROCHA - HABILITADO_001,ROCHA,NINGUNA,HABILITADO,1,DAMASO ANTONIO LARRAÑAGA,D,RINCON,117,,,,,ROCHA,447- 22519,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RINCON 117,-54.3372481551646,-34.47950088919632,1
ROCHA - HABILITADO_002,ROCHA,NINGUNA,HABILITADO,2,SAN JOSE,T,JOSE PEDRO RAMIREZ,203,,,,,ROCHA,447-22631,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE PEDRO RAMIREZ 203,-54.332690494397426,-34.48395925510853,1
ROCHA - HABILITADO_003,ROCHA,NINGUNA,HABILITADO,3,MARIA AUXILIADORA,D,MISIONES,1358,,,,,LASCANO,445-69042,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MISIONES 1358,-54.20889246388252,-33.67688276147302,1
ROCHA - HABILITADO_006,ROCHA,NINGUNA,HABILITADO,6,CEN. DE ENSEÑANZA INTEGRAL (C.E.I.),T,TREINTA Y TRES,2049,,,,,ROCHA,447-28796,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,TREINTA Y TRES 2049,-54.334439267728214,-34.47972628244515,1
SALTO - HABILITADO_001,SALTO,NINGUNA,HABILITADO,1,Ntra. Sra. DEL CARMEN,D,Gral ARTIGAS,543,,,,,SALTO,473-34004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral ARTIGAS 543,-57.96891160486091,-31.388166966109306,1
SALTO - HABILITADO_002,SALTO,NINGUNA,HABILITADO,2,COOP. DEL COL. Y LICEO INMACULADA CONCEPCION,T,Gral. ARTIGAS,838,,,,,SALTO,473-32229,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral. ARTIGAS 838,-57.96494970757319,-31.388937556103755,1
SALTO - HABILITADO_003,SALTO,NINGUNA,HABILITADO,3,CRANDON,T,AGRACIADA,1145,,,,,SALTO,473-33754,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AGRACIADA 1145,-57.959936999102396,-31.384842158386775,1
SALTO - HABILITADO_004,SALTO,NINGUNA,HABILITADO,4,MARIA AUXILIADORA,D,LAS PIEDRAS,69,,,,,SALTO,473-32342,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LAS PIEDRAS 69,-57.9556991268202,-31.38943719259297,1
SALTO - HABILITADO_005,SALTO,NINGUNA,HABILITADO,5,SAGRADA FAMILIA,T,MISIONES y URUGUAY,6,,,,,SALTO,473-32386,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MISIONES y URUGUAY 6,-57.96813381107342,-31.387208199481275,1
SALTO - HABILITADO_007,SALTO,NINGUNA,HABILITADO,7,PARROQUIAL SANTA CRUZ,T,DIAGONAL CENTENARIO,2242,,,,,SALTO,473-27743,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DIAGONAL CENTENARIO 2242,-57.94439972655074,-31.38537167921617,1
SALTO - HABILITADO_009,SALTO,NINGUNA,HABILITADO,9,Dr. CARLOS VAZ FERREIRA,T,INVERNIZZI,147,,,,,SALTO,473-30920,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,INVERNIZZI 147,-57.959712341846696,-31.386608562778108,1
SALTO - HABILITADO_010,SALTO,NINGUNA,HABILITADO,10,LOS ROBLES,D,URUGUAY,1055,,,,,SALTO,47328269,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,URUGUAY 1055,-57.96174040058868,-31.387731054188627,1
SALTO - JARDIN_001,SALTO,NINGUNA,JARDIN,1,MATERNAL DE MARIA,-,SANTA ROSA y PARAGUAY,-,,,,,SALTO,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SANTA ROSA y PARAGUAY -,-57.969448526779914,-31.376328819813203,1
SALTO - JARDIN_003,SALTO,NINGUNA,JARDIN,3,EL JARDIN DE ANA,-,FLORENCIO SANCHEZ,149,,,,,SALTO,473-25012,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FLORENCIO SANCHEZ 149,-57.96970836372561,-31.388789782295344,1
SALTO - JARDIN_004,SALTO,NINGUNA,JARDIN,4,BOTON TOLON,-,25 DE AGOSTO,135,,,,,SALTO,473-32356,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25 DE AGOSTO 135,-57.96025273027399,-31.389980585518163,1
SALTO - JARDIN_006,SALTO,NINGUNA,JARDIN,6,ECO JARDIN INFANTIL,-,RIVERA,767,,,,,SALTO,473-38650,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RIVERA 767,-57.96630887282574,-31.389751939168768,1
SALTO - JARDIN_007,SALTO,NINGUNA,JARDIN,7,MANUELITA,-,WASHINGTON BELTRAN,261,,,,,SALTO,473-36361,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,WASHINGTON BELTRAN 261,-57.953672989047085,-31.39202899035847,1
SALTO - ESPECIAL_001,SALTO,NINGUNA,ESPECIAL,1,CE.D.Y.R.P.,-,ZORRILLA DE SAN MARTIN,33,,,,,SALTO,473-33348,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ZORRILLA DE SAN MARTIN 33,-57.969473508827846,-31.38669058513659,1
