CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,NOMBRE,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,Intento
CANELONES - JARDIN_005,CANELONES,OESTE,JARDIN,5,EL CASTILLITO,,AV. ARTIGAS ,462,,,,,LAS PIEDRAS,23654 69 31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. ARTIGAS  462,-56.28370434998303,-34.5252503602844,1
CANELONES - JARDIN_006,CANELONES,OESTE,JARDIN,6,BARBAPAPA,,18 DE JULIO,522,,,,,LAS PIEDRAS,2364.84.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 522,-56.283881289072816,-34.534492024983756,1
CANELONES - JARDIN_008,CANELONES,PANDO,JARDIN,8,INSTITUTO PREESCOLAR ENTREAMIGOS,,INDEPENDENCIA,840,,,,,PANDO,2292 31 82,(entrada por Piedras 1010),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,INDEPENDENCIA 840,-55.579876923153705,-34.765461060080526,1
CANELONES - JARDIN_011,CANELONES,OESTE,JARDIN,11,LA TORTUGA CLEMENTINA,,ROCHA y FLORIDA,-,,,,,PROGRESO,2368.91.65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ROCHA y FLORIDA -,-55.76256132829288,-34.75038648880597,1
CANELONES - ESPECIAL_002,CANELONES,PANDO,ESPECIAL,2,CEN. PSICOPEDAGOGICO DE PANDO,,WILSON FERREIRA ALDUNATE,854,,,,,PANDO,2292 37 88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,WILSON FERREIRA ALDUNATE 854,-56.28704623750148,-34.51974915625389,1
CANELONES - ESPECIAL_004,CANELONES,PANDO,ESPECIAL,4,INSTITUTO NA.CRE.VI.,,PIOVENE,955,,,,,PANDO,2292 80 88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PIOVENE 955,-55.96196397641077,-34.71890999373524,1
CANELONES - ESPECIAL_005,CANELONES,COSTA,ESPECIAL,5,CENTRO DE RE-EDUCACIÓN INTEGRAL (CIDYT),,M 48 S 29,,CIRCUNVALACIÓN ENTRE 6 Y 8,,,,NEPTUNIA,4376 15 45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,M 48 S 29,-55.64711271490565,-34.77006893952114,1
CANELONES - ESPECIAL_006,CANELONES,COSTA,ESPECIAL,6,CE. ED. PIRIGUAZÚ,,CIRCUVALENCIÓN 6 Y 8,,,,,,ATLANTIDA,4372 45 17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CIRCUVALENCIÓN 6 Y 8,-55.484792260785056,-34.79259454668745,1
CANELONES - ESPECIAL_007,CANELONES,COSTA,ESPECIAL,7,ESCUELA DE LENGUAJE,,LA PALOMA,1108bis,,,,,BARRA DE CARRASCO,2604 63 14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LA PALOMA 1108bis,-56.11687066513834,-34.48527639517171,1
CANELONES - ESPECIAL_008,CANELONES,OESTE,ESPECIAL,8,C.A.P.D.I. CENTRO DE ATENCIÓN AL APRENDIZAJE EN LA DIVERSIDAD,,TORRE GARCÍA,703,,,,,LAS PIEDRAS,2364 4729,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,TORRE GARCÍA 703,-56.307338369048736,-34.58187369681165,1
CERRO LARGO - HABILITADO_001,CERRO LARGO,NINGUNA,HABILITADO,1,AGUSTIN DE LA ROSA,T,MIGUEL BARREIRO,1029,,,,,MELO,4642-6856,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MIGUEL BARREIRO 1029,-54.16142248433806,-32.36981203137045,1
CERRO LARGO - HABILITADO_002,CERRO LARGO,NINGUNA,HABILITADO,2,MARIA AUXILIADORA,D,LA ROSA,591,,,,,MELO,4642-2285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LA ROSA 591,-54.17184328429385,-32.37490870090123,1
CERRO LARGO - HABILITADO_003,CERRO LARGO,NINGUNA,HABILITADO,3,DAMASO ANTONIO LARRAÑAGA,T,EJIDO,621,,,,,MELO,4642-1162,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,EJIDO 621,-54.16969220478085,-32.36313075645898,1
CERRO LARGO - HABILITADO_004,CERRO LARGO,NINGUNA,HABILITADO,4,SANTA ANGELA MERICI,D,JUAN PEDRO RAMIREZ,1242,,,,,RIO BRANCO,46753575,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN PEDRO RAMIREZ 1242,-54.1479992369411,-32.369614999757225,1
CERRO LARGO - HABILITADO_005,CERRO LARGO,NINGUNA,HABILITADO,5,YVYNARA,D,RUTA 8 PADRON 16331,KM402,,,,,MELO,4643-0495,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RUTA 8 PADRON 16331 KM402,-32.3557915,-54.1593134,3
CERRO LARGO - HABILITADO_006,CERRO LARGO,NINGUNA,HABILITADO,6,NTRA. SRA. DE LAS MERCEDES,T,EL FANAL,538,,,,,RIO BRANCO,4675-9575,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,EL FANAL 538,-53.37517551883944,-32.589151365658644,1
COLONIA - HABILITADO_001,COLONIA,NINGUNA,HABILITADO,1,SAN JUAN BAUTISTA,M,18 DE JULIO,240,,,,,COL. DEL SACRAMENTO,452-22953,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 240,-57.79989883103701,-34.336453437249546,1
COLONIA - HABILITADO_002,COLONIA,NINGUNA,HABILITADO,2,SAN JOSE,D,18 DE JULIO,,,,,,TARARIRAS,457-42037,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO,-57.81965673999999,-34.33835236,1
COLONIA - HABILITADO_003,COLONIA,NINGUNA,HABILITADO,3,MATER TER ADMIRABILIS,D,COLON y LUIS A. DE HERRERA,-,,,,,NUEVA HELVECIA,455-44073,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,COLON y LUIS A. DE HERRERA -,-57.845093152428475,-34.44697122840236,1
COLONIA - HABILITADO_004,COLONIA,NINGUNA,HABILITADO,4,MARIA AUXILIADORA,D,MERCEDES,215,,,,,JUAN LACAZE,458-62030,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MERCEDES 215,-57.34892010496468,-34.3212591600553,1
COLONIA - HABILITADO_005,COLONIA,NINGUNA,HABILITADO,5,MISIONERAS DEL SAGRADO CORAZON,D,ITUZAINGO,,,,,,ROSARIO,455-22280,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ITUZAINGO,-57.84945877358639,-34.47145430463538,1
COLONIA - HABILITADO_008,COLONIA,NINGUNA,HABILITADO,8,ADVENTISTA AMIEL,T,Av. GILOMEN,1359,,,,,NUEVA HELVECIA,455-45833,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. GILOMEN 1359,-57.842892136945515,-34.46177290747174,1
COLONIA - HABILITADO_009,COLONIA,NINGUNA,HABILITADO,9,C.E.N.I.,T,MARIA NIMMO y RUTA 21,683,,,,,COL. DEL SACRAMENTO,452-31198,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MARIA NIMMO y RUTA 21 683,-57.83969229390439,-34.46179303631189,1
COLONIA - HABILITADO_011,COLONIA,NINGUNA,HABILITADO,11,SAN GABRIEL,D,DANIEL FOSALBA,523,,,,,COL. DE SACRAMENTO,452-31849,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DANIEL FOSALBA 523,-57.84343872213704,-34.46844408243751,1
COLONIA - HABILITADO_012,COLONIA,NINGUNA,HABILITADO,12,ESCUELA LOGOSÓFICA SABER,D,18 DE JULIO,1227,,,,,NUEVA HELVECIA,4554 5314,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,18 DE JULIO 1227,-57.79361182421029,-34.368408446552465,1
COLONIA - HABILITADO_013,COLONIA,NINGUNA,HABILITADO,13,ESCUELA PITAGORAS,,"RUTA 50 KM 5,500  PARAJE ESTANZUELA",,,,,,,4520 34 05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,"RUTA 50 KM 5,500  PARAJE ESTANZUELA",-31.4490399,-69.4195528,4
COLONIA - HABILITADO_014,COLONIA,NINGUNA,HABILITADO,14,COLEGIO BILINGÜE DEL CARMEN,,URUGUAY,319,,,,,CARMELO,4542 63 99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,URUGUAY 319,-57.70943889502617,-34.43350956735713,1
COLONIA - HABILITADO_015,COLONIA,NINGUNA,HABILITADO,15,CENTRO DE CULTURA LOGOSOFICA,,JOSE ENRIQUE RODO,316,,,,,,,,,,,,,,,,,,,,,,,,,JOSE ENRIQUE RODO 316,-57.84364503821215,-34.44950148354952,1
COLONIA - HABILITADO_016,COLONIA,NINGUNA,HABILITADO,16,SEMILLA MAGNETICA JR.,,FEDERICO FISCHER ,6520,,,,,,,,,,,,,,,,,,,,,,,,,FEDERICO FISCHER  6520,-57.94200185270997,-34.10424987609961,1
COLONIA - JARDIN_003,COLONIA,NINGUNA,JARDIN,3,GENTE MENUDA,-,MARIA NIMMO,683,,,,,COL. DE SACRAMENTO,4522 3641,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MARIA NIMMO 683,-57.83969229390439,-34.46179303631189,1
COLONIA - ESPECIAL_002,COLONIA,NINGUNA,ESPECIAL,2,INSTITUTO TECNOLOGICO DE URUGUAY (I.T.U.),-,RIVADAVIA,531,,,,,COL. DE SACRAMENTO,452-31216,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RIVADAVIA 531,-57.84328792606212,-34.46935412476456,1
DURAZNO - HABILITADO_002,DURAZNO,NINGUNA,HABILITADO,2,SAN LUIS,T,WILSON FERREIRA ALDUNATE,732,,,,,DURAZNO,436-22028,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,WILSON FERREIRA ALDUNATE 732,-56.521222477215865,-33.381901004779415,1
DURAZNO - HABILITADO_004,DURAZNO,NINGUNA,HABILITADO,4,MADRE CARMEN,D,FRANCISCO FONTEROSA,,,,,,VILLA DEL CARMEN,436-54006,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FRANCISCO FONTEROSA,-56.52231573,-33.33576733999999,1
